keys,en
module.energy_lv_16a,Energy Module LV 16A
module.energy_mv_16a,Energy Module MV 16A
module.energy_hv_16a,Energy Module HV 16A
module.energy_ev_16a,Energy Module EV 16A
module.energy_iv_16a,Energy Module IV 16A
module.energy_luv_16a,Energy Module LuV 16A
module.energy_zpm_16a,Energy Module ZPM 16A
module.energy_uv_16a,Energy Module UV 16A
module.coil_cupronickel,Cupronickel Coil
module.coil_kanthal,Kanthal Coil
module.coil_nichrome,Nichrome Coil
module.coil_tungstensteel,Tungstensteel Coil
module.coil_hssg,HSS-G Coil
module.coil_naquadah,Naquadah Coil
module.coil_naquadah_alloy,Naquadah Alloy Coil
module.coil_superconductor,Superconductor Coil
module.muffler_lv,Muffler LV
module.muffler_mv,Muffler MV
module.muffler_hv,Muffler HV
module.muffler_ev,Muffler EV
module.muffler_iv,Muffler IV+

# ============================================================
# Fuels
# ============================================================
fuel.coal,Coal
fuel.charcoal,Charcoal
fuel.wood_log,Wood Log
fuel.wood_plank,Wood Plank
fuel.stick,Stick
fuel.lava,Lava
fuel.diesel,Diesel Fuel
fuel.oil,Oil
fuel.natural_gas,Natural Gas
fuel.hydrogen,Hydrogen

# ============================================================
# Terrain materials (BuiltinTerrainContent.gd keys)
# ============================================================
terrain.air,Air
terrain.stone,Stone
terrain.dirt,Dirt
terrain.grass,Grass
terrain.sand,Sand
terrain.gravel,Gravel
terrain.snow,Snow
terrain.ice,Ice
terrain.water,Water
terrain.deep_water,Deep Water
terrain.lava,Lava
terrain.iron_ore,Iron Ore
terrain.copper_ore,Copper Ore
terrain.coal_ore,Coal Ore
terrain.tin_ore,Tin Ore
terrain.gold_ore,Gold Ore
terrain.silver_ore,Silver Ore
terrain.lead_ore,Lead Ore
terrain.bauxite_ore,Bauxite Ore
terrain.uranium_ore,Uranium Ore
terrain.oak_wood,Oak Wood
terrain.oak_leaves,Oak Leaves
terrain.birch_wood,Birch Wood
terrain.birch_leaves,Birch Leaves
terrain.spruce_wood,Spruce Wood
terrain.spruce_leaves,Spruce Leaves
terrain.acacia_wood,Acacia Wood
terrain.acacia_leaves,Acacia Leaves
terrain.maple_wood,Maple Wood
terrain.maple_leaves,Maple Leaves
terrain.sequoia_wood,Sequoia Wood
terrain.sequoia_leaves,Sequoia Leaves
terrain.cherry_wood,Cherry Wood
terrain.cherry_leaves,Cherry Leaves
terrain.olive_wood,Olive Wood
terrain.olive_leaves,Olive Leaves
terrain.granite,Granite
terrain.basalt,Basalt
terrain.marble,Marble
terrain.sandstone,Sandstone
terrain.shale,Shale
terrain.komatiite,Komatiite
terrain.regolith,Regolith
terrain.anorthosite,Anorthosite
terrain.deepstone,Deepstone
terrain.core_barrier,Core Barrier
terrain.wood,Wood
terrain.leaves,Leaves
terrain.ladder,Ladder
terrain.workbench,Workbench
terrain.fence,Fence
terrain.lithium_ore,Lithium Ore
terrain.beryllium_ore,Beryllium Ore
terrain.boron_ore,Boron Ore
terrain.magnesium_ore,Magnesium Ore
terrain.phosphorus_ore,Phosphorus Ore
terrain.potassium_ore,Potassium Ore
terrain.calcium_ore,Calcium Ore
terrain.scandium_ore,Scandium Ore
terrain.vanadium_ore,Vanadium Ore
terrain.chromium_ore,Chromium Ore
terrain.gallium_ore,Gallium Ore
terrain.germanium_ore,Germanium Ore
terrain.arsenic_ore,Arsenic Ore
terrain.selenium_ore,Selenium Ore
terrain.bromine_ore,Bromine Ore
terrain.rubidium_ore,Rubidium Ore
terrain.strontium_ore,Strontium Ore
terrain.yttrium_ore,Yttrium Ore
terrain.zirconium_ore,Zirconium Ore
terrain.niobium_ore,Niobium Ore
terrain.molybdenum_ore,Molybdenum Ore
terrain.ruthenium_ore,Ruthenium Ore
terrain.rhodium_ore,Rhodium Ore
terrain.palladium_ore,Palladium Ore
terrain.cadmium_ore,Cadmium Ore
terrain.indium_ore,Indium Ore
terrain.antimony_ore,Antimony Ore
terrain.tellurium_ore,Tellurium Ore
terrain.iodine_ore,Iodine Ore
terrain.cesium_ore,Cesium Ore
terrain.barium_ore,Barium Ore
terrain.rare_earth_ore,Rare Earth Ore
terrain.hafnium_ore,Hafnium Ore
terrain.tantalum_ore,Tantalum Ore
terrain.rhenium_ore,Rhenium Ore
terrain.osmium_ore,Osmium Ore
terrain.iridium_ore,Iridium Ore
terrain.thallium_ore,Thallium Ore
terrain.bismuth_ore,Bismuth Ore
terrain.thorium_ore,Thorium Ore

# ============================================================
# Planet / Station / Universe display names
# ============================================================
# These use procedural naming, so keys are provided as fallback templates
ui.unknown,Unknown
ui.planet,Planet
ui.space_station,Space Station
ui.mechanism,Mechanism
ui.distance_unit,ly
ui.temperature_unit,K

# ============================================================
# Fluid display names
# ============================================================
fluid.water,Water
fluid.lava,Lava
fluid.steam,Steam
fluid.creosote,Creosote
fluid.sulfuric_acid,Sulfuric Acid
fluid.hydrochloric_acid,Hydrochloric Acid
fluid.nitric_acid,Nitric Acid
fluid.hydrofluoric_acid,Hydrofluoric Acid
fluid.aqua_regia,Aqua Regia
fluid.lubricant,Lubricant
fluid.biomass,Biomass
fluid.ethanol,Ethanol
fluid.oil,Oil
fluid.oil_heavy,Heavy Oil
fluid.oil_light,Light Oil
fluid.fuel_diesel,Diesel Fuel
fluid.fuel_rocket,Rocket Fuel
fluid.glue,Glue
fluid.mercury,Mercury
fluid.oxygen,Oxygen
fluid.hydrogen,Hydrogen
fluid.nitrogen,Nitrogen
fluid.carbon_dioxide,Carbon Dioxide
fluid.carbon_monoxide,Carbon Monoxide
fluid.sulfur_dioxide,Sulfur Dioxide
fluid.nitrogen_dioxide,Nitrogen Dioxide
fluid.nitric_oxide,Nitric Oxide
fluid.ammonia,Ammonia
fluid.methane,Methane
fluid.natural_gas,Natural Gas
fluid.hydrogen_sulfide,Hydrogen Sulfide
fluid.ozone,Ozone
fluid.chlorine,Chlorine
fluid.fluorine,Fluorine
fluid.bromine,Bromine
fluid.iodine,Iodine
fluid.helium,Helium
fluid.neon,Neon
fluid.argon,Argon
fluid.krypton,Krypton
fluid.xenon,Xenon
fluid.radon,Radon
fluid.deuterium,Deuterium
fluid.tritium,Tritium
fluid.helium_3,Helium-3
fluid.molten_iron,Molten Iron
fluid.molten_gold,Molten Gold
fluid.molten_copper,Molten Copper
fluid.molten_tin,Molten Tin
fluid.molten_lead,Molten Lead
fluid.distilled_water,Distilled Water

# ============================================================
# Ritual recipe display names
# ============================================================
ritual.unknown,Unknown Ritual
ritual.machine_speed,Machine Speed I
ritual.machine_cooling,Machine Cooling
ritual.machine_output,Machine Output I
ritual.toggle_ruin_gate,Toggle Ruin Gate
ritual.player_speed_boost,Player Speed Boost
ritual.machine_double_output,Machine Random Double Output
ritual.teleport_link,Altar Teleport Link
ritual.divination,Divination
ritual.mana_expansion,Mana Expansion +25

# ============================================================
# Source law: Organ/Skill display names
# ============================================================
skill.sand_shield,Sand Shield
skill.sand_blade,Sand Blade
skill.tidal_wave,Tidal Wave
skill.water_breathe,Water Breathe
skill.storm_bolt,Storm Bolt
skill.chain_lightning,Chain Lightning
skill.furnace_blaze,Furnace Blaze
skill.molten_shield,Molten Shield
skill.heal_radiance,Heal Radiance
skill.purifying_light,Purifying Light

# ============================================================
# Tree species display names
# ============================================================
tree.oak,Oak
tree.birch,Birch
tree.spruce,Spruce
tree.acacia,Acacia
tree.maple,Maple
tree.sequoia,Sequoia
tree.cherry,Cherry
tree.olive,Olive

# ============================================================
# GDScript-registered item display names (ItemDatabase.gd)
# ============================================================
item.wood_log,Wood Log
item.wood_plank,Wood Plank
item.stick,Stick
item.stone_dust,Stone Dust
item.stone_tiny_dust,Stone Tiny Dust
item.coal,Coal
item.crushed_copper,Crushed Copper
item.crushed_iron,Crushed Iron
item.copper_dust,Copper Dust
item.iron_dust,Iron Dust
item.granite_dust,Granite Dust
item.granite_tiny_dust,Granite Tiny Dust
item.basalt_dust,Basalt Dust
item.basalt_tiny_dust,Basalt Tiny Dust
item.marble_dust,Marble Dust
item.marble_tiny_dust,Marble Tiny Dust
item.sandstone_dust,Sandstone Dust
item.sandstone_tiny_dust,Sandstone Tiny Dust
item.shale_dust,Shale Dust
item.shale_tiny_dust,Shale Tiny Dust
item.komatiite_dust,Komatiite Dust
item.komatiite_tiny_dust,Komatiite Tiny Dust
item.regolith_dust,Regolith Dust
item.regolith_tiny_dust,Regolith Tiny Dust
item.anorthosite_dust,Anorthosite Dust
item.anorthosite_tiny_dust,Anorthosite Tiny Dust
item.rubber_plate,Rubber Sheet
item.polyethylene_plate,Polyethylene Sheet
item.glowstone_dust,Glowstone Dust
item.glowstone_block,Glowstone Block

# ============================================================
# Station names (for crafting station types)
# ============================================================
station.crafting_table,Crafting Table
station.furnace,Furnace
station.workbench,Workbench
station.hand_crafting,Hand Crafting

# ============================================================
# Planting system - Farmland & crop species
# ============================================================
terrain.farmland,Farmland
crop.wheat,Wheat
crop.carrot,Carrot
crop.potato,Potato
crop.cotton,Cotton
crop.herb,Herb
crop.pumpkin,Pumpkin
terrain.wheat_seed,Wheat Seeds
terrain.wheat_sprout,Wheat Sprout
terrain.wheat_growing,Growing Wheat
terrain.wheat_mature,Mature Wheat
terrain.carrot_seed,Carrot Seeds
terrain.carrot_sprout,Carrot Sprout
terrain.carrot_growing,Growing Carrot
terrain.carrot_mature,Mature Carrot
terrain.potato_seed,Potato Seeds
terrain.potato_sprout,Potato Sprout
terrain.potato_growing,Growing Potato
terrain.potato_mature,Mature Potato
terrain.cotton_seed,Cotton Seeds
terrain.cotton_sprout,Cotton Sprout
terrain.cotton_growing,Growing Cotton
terrain.cotton_mature,Mature Cotton
terrain.herb_seed,Herb Seeds
terrain.herb_sprout,Herb Sprout
terrain.herb_growing,Growing Herb
terrain.herb_mature,Mature Herb
terrain.pumpkin_seed,Pumpkin Seeds
terrain.pumpkin_sprout,Pumpkin Sprout
terrain.pumpkin_growing,Growing Pumpkin
terrain.pumpkin_mature,Mature Pumpkin

# ============================================================
# Planting system - Crop items
# ============================================================
item.wheat_seed,Wheat Seeds
item.wheat_crop,Wheat
item.carrot_seed,Carrot Seeds
item.carrot_crop,Carrot
item.potato_seed,Potato Seeds
item.potato_crop,Potato
item.cotton_seed,Cotton Seeds
item.cotton_crop,Cotton
item.herb_seed,Herb Seeds
item.herb_crop,Herb
item.pumpkin_seed,Pumpkin Seeds
item.pumpkin_crop,Pumpkin
item.bone_meal,Bone Meal
item.flour,Flour
item.bread,Bread
item.cotton_fiber,Cotton Fiber
item.cloth,Cloth
item.meat.raw.glow_deer,Raw Glow Deer Meat
item.meat.cooked.glow_deer,Cooked Glow Deer Meat
item.meat.raw.rock_lizard,Raw Rock Lizard Meat
item.meat.cooked.rock_lizard,Cooked Rock Lizard Meat
item.meat.raw.thunderbird,Raw Thunderbird Meat
item.meat.cooked.thunderbird,Cooked Thunderbird Meat
item.meat.raw.sea_serpent,Raw Sea Serpent Meat
item.meat.cooked.sea_serpent,Cooked Sea Serpent Meat
item.meat.raw.blaze_beast,Raw Blaze Beast Meat
item.meat.cooked.blaze_beast,Cooked Blaze Beast Meat

# ============================================================
# TFC expansion items
# ============================================================
copper_pickaxe,Copper Pickaxe
copper_axe,Copper Axe
copper_shovel,Copper Shovel
copper_sword,Copper Sword
tin_bronze_pickaxe,Tin Bronze Pickaxe
tin_bronze_axe,Tin Bronze Axe
bismuth_bronze_pickaxe,Bismuth Bronze Pickaxe
bismuth_bronze_axe,Bismuth Bronze Axe
black_bronze_pickaxe,Black Bronze Pickaxe
steel_pickaxe,Steel Pickaxe
steel_axe,Steel Axe
steel_shovel,Steel Shovel
steel_sword,Steel Sword
stone_axe_head,Stone Axe Head
stone_shovel_head,Stone Shovel Head
stone_hoe_head,Stone Hoe Head
stone_knife_head,Stone Knife Head
stone_hoe,Stone Hoe
stone_knife,Stone Knife
flint,Flint
chert,Chert
flint_and_steel,Flint and Steel
item.clay_ball,Clay Ball
item.straw,Straw
item.charcoal,Charcoal
item.coal_dust,Coal Dust
item.unfired_bowl,Unfired Bowl
item.unfired_jug,Unfired Jug
item.unfired_crucible,Unfired Crucible
item.unfired_brick,Unfired Brick
item.fired_bowl,Fired Bowl
item.fired_jug,Fired Jug
item.fired_crucible,Crucible
item.refractory_brick,Refractory Brick
item.iron_bloom,Iron Bloom
item.wrought_iron_ingot,Wrought Iron Ingot
item.steel_ingot,Steel Ingot
item.hammer,Hammer
item.bellows,Bellows
item.anvil,Anvil
# TFC terrain materials
terrain.clay,Clay
terrain.log_pile,Log Pile
terrain.charcoal,Charcoal Block
terrain.straw,Straw
terrain.bloomery,Bloomery
terrain.anvil,Anvil
terrain.pit_kiln,Pit Kiln

# ============================================================
# ============================================================
# Creative inventory UI
# ============================================================
creative.inventory.title,Creative Inventory
creative.category.materials,Materials
creative.category.tools,Tools
creative.category.components,Components
creative.category.placeables,Placeables
creative.category.resources,Resources
creative.category.food,Food
creative.category.misc,Misc
# Captive breeding system
# ============================================================
husbandry.captured,Captured! The creature is now penned
husbandry.taming,Taming in progress... keep feeding
husbandry.tamed,Taming complete!
husbandry.bred,Bred successfully! A baby was born
husbandry.fed,Fed
husbandry.no_enclosure,That spot is not inside a closed fence
husbandry.pen_full,The pen is full
husbandry.miss,No creature found to feed
husbandry.baby,Baby
husbandry.adult,Adult

# ============================================================
# NEI Panel (recipe browser)
# ============================================================
nei.title,Item Browser
nei.search_hint,Search items...
nei.tab_recipes,Recipes
nei.tab_usage,Usage
nei.no_recipes,No recipes found.

# ============================================================
# Crafting UI
# ============================================================
crafting.title,Crafting
crafting.craft_button,Craft
crafting.category.materials,Materials
crafting.category.tools,Tools
crafting.category.parts,Parts
crafting.category.wires,Wires
crafting.category.cables,Cables
crafting.category.circuits,Circuits
crafting.category.machines,Machines
crafting.category.misc,Misc

# ============================================================
# NEI Sidebar (item browser sidebar)
# ============================================================
nei.sidebar.bookmarks,Bookmarks
nei.sidebar.mode_recipe,Recipe
nei.sidebar.mode_cheat,Cheat
nei.sidebar.mode_utility,Utility
nei.sidebar.page,Page
nei.sidebar.empty,No items
nei.sidebar.key_format,Key: %s
nei.sidebar.source_format,Source: %s
nei.sidebar.ore_format,Ore: %s
nei.sidebar.recipe_usage_format,Recipes: %d  |  Usages: %d

# ============================================================
# NEI Utility Bar (utility buttons)
# ============================================================
nei.util.magnet,Magnet
nei.util.magnet_tip,Magnet: pull dropped items to player
nei.util.delete,Delete
nei.util.delete_tip,Delete: click inventory items to remove
nei.util.infinite,Infinite
nei.util.infinite_tip,Infinite: placed blocks are not consumed
nei.util.chunk_loader,Chunk
nei.util.chunk_loader_tip,Chunk loader: keep nearby chunks loaded
nei.util.block_highlight,Box
nei.util.block_highlight_tip,Block highlight: show bounding boxes
nei.util.entity_radar,Entity
nei.util.entity_radar_tip,Entity radar: show nearby entities
nei.util.time_dawn,Dawn
nei.util.time_dawn_tip,Set time to dawn
nei.util.time_noon,Noon
nei.util.time_noon_tip,Set time to noon
nei.util.time_dusk,Dusk
nei.util.time_dusk_tip,Set time to dusk
nei.util.time_midnight,Night
nei.util.time_midnight_tip,Set time to midnight
nei.util.rain,Rain
nei.util.rain_tip,Toggle rain

# ============================================================
# NEI History Navigation
# ============================================================
nei.history.back,Back
nei.history.forward,Forward

# ============================================================
# NEI Recipe Transfer
# ============================================================
nei.transfer.craft,Craft (transfer)
nei.transfer.craft_tip,Attempt to craft this recipe using inventory items
nei.transfer.success,Crafted x%d
nei.transfer.failed,Craft failed (missing items?)

# ============================================================
# NEI Info Panel
# ============================================================
nei.info.base,Base
nei.info.item_id,Item ID
nei.info.item_key,Item Key
nei.info.max_stack,Max Stack
nei.info.source,Source
nei.info.category,Category
sfm.block.manager,Flow Manager
sfm.block.cable,Inventory Cable
sfm.editor.title,Flow Program Editor
sfm.editor.add_node,Add Node
sfm.editor.delete_selected,Delete Selected
sfm.editor.save,Save
sfm.editor.load,Load
sfm.editor.refresh_containers,Refresh Containers
sfm.editor.clear_all,Clear All
sfm.editor.palette,Node Palette
sfm.editor.containers,Containers
sfm.editor.ready,Ready
sfm.node.trigger_timer,Timer Trigger
sfm.node.trigger_redstone,Redstone Trigger
sfm.node.trigger_item,Item Trigger
sfm.node.item_input,Item Input
sfm.node.item_output,Item Output
sfm.node.fluid_input,Fluid Input
sfm.node.fluid_output,Fluid Output
sfm.node.energy_input,Energy Input
sfm.node.energy_output,Energy Output
sfm.node.redstone_input,Redstone Input
sfm.node.redstone_output,Redstone Output
sfm.node.item_filter,Item Filter
sfm.node.fluid_filter,Fluid Filter
sfm.node.condition,Condition
sfm.node.loop,Loop
sfm.node.group_input,Group Input
sfm.node.group_output,Group Output
sfm.node.variable_get,Variable Get
sfm.node.variable_set,Variable Set
sfm.node.math,Math
sfm.node.text_label,Text Label
sfm.node.count,Count
nei.info.ore_dict,Ore Dict
nei.info.bookmarked,Bookmarked
nei.info.bookmarked_yes,Yes (B to remove)
nei.info.bookmarked_no,No (B to add)
nei.info.recipe_summary,Recipe Summary
nei.info.recipes,Recipes
nei.info.usages,Usages
nei.info.shortcuts,Shortcuts
nei.info.machines,Machines
nei.info.tooltip,Tooltip

# ============================================================
# NEI Tooltip
# ============================================================
nei.tooltip.key,Key
nei.tooltip.source,Source
nei.tooltip.ore,Ore
nei.tooltip.recipes,Recipes
nei.tooltip.usages,Usages
nei.tooltip.hint,R: recipes  U: usage  M: machines  B: bookmark

# ============================================================
# NEI Key Bindings
# ============================================================
nei.key.toggle_nei_panel,NEI Item Browser
nei.key.toggle_nei_mode,NEI Mode Toggle

# ============================================================
# Quest Book UI
# ============================================================
quest_book.title,Quest Book
quest_book.locked,Locked
quest_book.available,Available
quest_book.in_progress,In Progress
quest_book.completed,Completed
quest_book.unknown,Unknown
quest_book.conditions,Conditions
quest_book.rewards,Rewards
quest_book.claim_reward,Claim Reward
quest_book.claimed,Claimed
quest_book.progress,%d / %d completed
quest_book.status,Status: %s
quest_book.reward_item,  + %s x%d
quest_book.reward_select_one,  + Choose one reward
quest_book.reward_unlock,  + Unlocks: %s
quest_book.reward_unknown,  + Unknown reward
quest_book.condition_done,  [x] %s (%d/%d)
quest_book.condition_pending,  [ ] %s (%d/%d)

# ============================================================
# Quest chapters
# ============================================================
quest.chapter.stone_age,Stone Age
quest.chapter.bronze_age,Bronze Age
quest.chapter.steam_age,Steam Age
quest.chapter.lv,Low Voltage
quest.chapter.mv,Medium Voltage
quest.chapter.magic,Source Law

# ============================================================
# Stone Age quests
# ============================================================
quest.stone_age.first_steps.title,First Steps
