keys,zh
elixir.furnace_initiation,熔炉启蒙药剂
elixir.radiance_initiation,辉耀启蒙药剂
elixir.basic_tuning,基础调和药剂
elixir.basic_purification,基础净化药剂

# ============================================================
# Source law: Dropped organs (掉落器官)
# ============================================================
organ.rock_lizard_heart,岩蜥源心
organ.rock_lizard_bone,岩蜥源骨
organ.sea_serpent_lung,海蛇源肺
organ.aberrant_sand_armor_bone,畸变沙铠骨
organ.aberrant_tidal_lung,畸变潮汐肺
organ.aberrant_storm_nerve,畸变风暴神经
organ.aberrant_furnace_heart,畸变熔炉心
organ.aberrant_radiance_eye,畸变辉耀眼

# ============================================================
# Skill display names (技能名称)
# ============================================================
skill.rock_shield,岩石之盾
skill.sand_shield,沙之盾
skill.sand_blade,沙之刃
skill.tidal_wave,潮汐波
skill.water_breathe,水下呼吸
skill.storm_bolt,风暴箭
skill.chain_lightning,闪电链
skill.furnace_blaze,熔炉烈焰
skill.molten_shield,熔岩护盾
skill.heal_radiance,治疗辉光
skill.purifying_light,净化之光

# ============================================================
# Tree species display names (树种名称)
# ============================================================
tree.oak,橡树
tree.birch,白桦
tree.spruce,云杉
tree.acacia,金合欢
tree.maple,枫树
tree.sequoia,红杉
tree.cherry,樱桃树
tree.olive,橄榄树

# ============================================================
# GDScript-registered item display names (物品数据库)
# ============================================================
item.wood_log,原木
item.wood_plank,木板
item.stick,木棍
item.stone_dust,石粉
item.stone_tiny_dust,小撮石粉
item.coal,煤炭
item.crushed_copper,粉碎铜矿
item.crushed_iron,粉碎铁矿
item.copper_dust,铜粉
item.iron_dust,铁粉
item.granite_dust,花岗岩粉
item.granite_tiny_dust,小撮花岗岩粉
item.basalt_dust,玄武岩粉
item.basalt_tiny_dust,小撮玄武岩粉
item.marble_dust,大理石粉
item.marble_tiny_dust,小撮大理石粉
item.sandstone_dust,砂岩粉
item.sandstone_tiny_dust,小撮砂岩粉
item.shale_dust,页岩粉
item.shale_tiny_dust,小撮页岩粉
item.komatiite_dust,科马提岩粉
item.komatiite_tiny_dust,小撮科马提岩粉
item.regolith_dust,表岩屑粉
item.regolith_tiny_dust,小撮表岩屑粉
item.anorthosite_dust,斜长岩粉
item.anorthosite_tiny_dust,小撮斜长岩粉
item.rubber_plate,橡胶片
item.polyethylene_plate,聚乙烯片
item.glowstone_dust,萤石粉
item.glowstone_block,萤石块

# ============================================================
# Station names (工作站类型)
# ============================================================
station.crafting_table,合成台
station.furnace,熔炉
station.workbench,工作台
station.hand_crafting,手搓

# ============================================================
# Planting system - Farmland & crop species (种植系统 - 农田与作物)
# ============================================================
terrain.farmland,农田
crop.wheat,小麦
crop.carrot,胡萝卜
crop.potato,马铃薯
crop.cotton,棉花
crop.herb,草药
crop.pumpkin,南瓜
terrain.wheat_seed,小麦种子
terrain.wheat_sprout,小麦幼苗
terrain.wheat_growing,生长中小麦
terrain.wheat_mature,成熟小麦
terrain.carrot_seed,胡萝卜种子
terrain.carrot_sprout,胡萝卜幼苗
terrain.carrot_growing,生长中胡萝卜
terrain.carrot_mature,成熟胡萝卜
terrain.potato_seed,马铃薯种子
terrain.potato_sprout,马铃薯幼苗
terrain.potato_growing,生长中马铃薯
terrain.potato_mature,成熟马铃薯
terrain.cotton_seed,棉花种子
terrain.cotton_sprout,棉花幼苗
terrain.cotton_growing,生长中棉花
terrain.cotton_mature,成熟棉花
terrain.herb_seed,草药种子
terrain.herb_sprout,草药幼苗
terrain.herb_growing,生长中草药
terrain.herb_mature,成熟草药
terrain.pumpkin_seed,南瓜种子
terrain.pumpkin_sprout,南瓜幼苗
terrain.pumpkin_growing,生长中南瓜
terrain.pumpkin_mature,成熟南瓜

# ============================================================
# Planting system - Crop items (种植系统 - 作物物品)
# ============================================================
item.wheat_seed,小麦种子
item.wheat_crop,小麦
item.carrot_seed,胡萝卜种子
item.carrot_crop,胡萝卜
item.potato_seed,马铃薯种子
item.potato_crop,马铃薯
item.cotton_seed,棉花种子
item.cotton_crop,棉花
item.herb_seed,草药种子
item.herb_crop,草药
item.pumpkin_seed,南瓜种子
item.pumpkin_crop,南瓜
item.bone_meal,骨粉
item.flour,面粉
item.bread,面包
item.cotton_fiber,棉纤维
item.cloth,布料
item.meat.raw.glow_deer,生辉光鹿肉
item.meat.cooked.glow_deer,熟辉光鹿肉
item.meat.raw.rock_lizard,生岩蜥肉
item.meat.cooked.rock_lizard,熟岩蜥肉
item.meat.raw.thunderbird,生雷鸟肉
item.meat.cooked.thunderbird,熟雷鸟肉
item.meat.raw.sea_serpent,生海蛇肉
item.meat.cooked.sea_serpent,熟海蛇肉
item.meat.raw.blaze_beast,生炽核兽肉
item.meat.cooked.blaze_beast,熟炽核兽肉

# ============================================================
# TFC expansion items
# ============================================================
copper_pickaxe,铜镐
copper_axe,铜斧
copper_shovel,铜锹
copper_sword,铜剑
tin_bronze_pickaxe,锡镐
tin_bronze_axe,锡斧
bismuth_bronze_pickaxe,铋青铜镐
bismuth_bronze_axe,铋青铜斧
black_bronze_pickaxe,黑青铜镐
steel_pickaxe,钢镐
steel_axe,钢斧
steel_shovel,钢锹
steel_sword,钢剑
stone_axe_head,石斧头
stone_shovel_head,石锹头
stone_hoe_head,石锄头
stone_knife_head,石刀头
stone_hoe,石锄
stone_knife,石刀
flint,燧石
chert,黑硅石
flint_and_steel,打火石
item.clay_ball,粘土球
item.straw,稻草
item.charcoal,木炭
item.coal_dust,煤粉
item.unfired_bowl,未烧制的碗
item.unfired_jug,未烧制的罐
item.unfired_crucible,未烧制的坩埚
item.unfired_brick,未烧制的砖
item.fired_bowl,陶碗
item.fired_jug,陶罐
item.fired_crucible,坩埚
item.refractory_brick,耐火砖
item.iron_bloom,铁坯
item.wrought_iron_ingot,熟铁锭
item.steel_ingot,钢锭
item.hammer,铁锤
item.bellows,风箱
item.anvil,铁砧
# Terrain material names
# ============================================================
# Creative inventory UI (创造模式物品栏)
# ============================================================
creative.inventory.title,创造模式物品栏
creative.category.materials,材料
creative.category.tools,工具
creative.category.components,组件
creative.category.placeables,装饰
creative.category.resources,资源
creative.category.food,食物
creative.category.misc,其他
terrain.clay,粘土
terrain.log_pile,原木堆
terrain.charcoal,木炭块
terrain.straw,稻草
terrain.bloomery,高炉砖
terrain.anvil,铁砧
terrain.pit_kiln,窑坑

# ============================================================
# Captive breeding system (圈养繁殖系统)
# ============================================================
husbandry.captured,捕获成功！生物已被圈养
husbandry.taming,正在驯化…继续投喂
husbandry.tamed,驯化完成！
husbandry.bred,繁殖成功！幼崽已出生
husbandry.fed,已投喂
husbandry.no_enclosure,该位置不在封闭围栏内
husbandry.pen_full,圈栏内生物已满
husbandry.miss,未找到可投喂的生物
husbandry.baby,幼崽
husbandry.adult,成年

# ============================================================
# NEI Panel (物品配方查询)
# ============================================================
nei.title,物品配方查询
nei.search_hint,搜索物品...
nei.tab_recipes,合成配方
nei.tab_usage,用途
nei.no_recipes,未找到配方。

# ============================================================
# Crafting UI (合成界面)
# ============================================================
crafting.title,合成
crafting.craft_button,合成
crafting.category.materials,材料
crafting.category.tools,工具
crafting.category.parts,零件
crafting.category.wires,导线
crafting.category.cables,电缆
crafting.category.circuits,电路
crafting.category.machines,机器
crafting.category.misc,其他

# ============================================================
# NEI Sidebar (侧边栏物品浏览器)
# ============================================================
nei.sidebar.bookmarks,收藏
nei.sidebar.mode_recipe,配方
nei.sidebar.mode_cheat,创造
nei.sidebar.mode_utility,工具
nei.sidebar.page,页
nei.sidebar.empty,无物品
nei.sidebar.key_format,键: %s
nei.sidebar.source_format,来源: %s
nei.sidebar.ore_format,矿物: %s
nei.sidebar.recipe_usage_format,配方: %d  |  用途: %d

# ============================================================
# NEI Utility Bar (工具栏)
# ============================================================
nei.util.magnet,磁铁
nei.util.magnet_tip,磁铁：将掉落物吸引到玩家
nei.util.delete,删除
nei.util.delete_tip,删除：点击物品栏中的物品以移除
nei.util.infinite,无限
nei.util.infinite_tip,无限：放置方块不消耗
nei.util.chunk_loader,区块加载
nei.util.chunk_loader_tip,区块加载：保持附近区块加载
nei.util.block_highlight,高亮
nei.util.block_highlight_tip,方块高亮：显示边界框
nei.util.entity_radar,实体雷达
nei.util.entity_radar_tip,实体雷达：显示附近实体
nei.util.time_dawn,黎明
nei.util.time_dawn_tip,设置时间为黎明
nei.util.time_noon,正午
nei.util.time_noon_tip,设置时间为正午
nei.util.time_dusk,黄昏
nei.util.time_dusk_tip,设置时间为黄昏
nei.util.time_midnight,午夜
nei.util.time_midnight_tip,设置时间为午夜
nei.util.rain,降雨
nei.util.rain_tip,切换降雨

# ============================================================
# NEI History Navigation (历史导航)
# ============================================================
nei.history.back,后退
nei.history.forward,前进

# ============================================================
# NEI Recipe Transfer (配方转移)
# ============================================================
nei.transfer.craft,合成（转移）
nei.transfer.craft_tip,尝试使用物品栏中的材料合成此配方
nei.transfer.success,合成成功 x%d
nei.transfer.failed,合成失败（材料不足？）

# ============================================================
# NEI Info Panel (信息面板)
# ============================================================
nei.info.base,基础信息
nei.info.item_id,物品ID
nei.info.item_key,物品键
nei.info.max_stack,最大堆叠
nei.info.source,来源
nei.info.category,类别
sfm.block.manager,流程管理器
sfm.block.cable,库存电缆
sfm.editor.title,流程程序编辑器
sfm.editor.add_node,添加节点
sfm.editor.delete_selected,删除选中
sfm.editor.save,保存
sfm.editor.load,加载
sfm.editor.refresh_containers,刷新容器
sfm.editor.clear_all,全部清除
sfm.editor.palette,节点调色板
sfm.editor.containers,容器
sfm.editor.ready,就绪
sfm.node.trigger_timer,定时触发器
sfm.node.trigger_redstone,红石触发器
sfm.node.trigger_item,物品触发器
sfm.node.item_input,物品输入
sfm.node.item_output,物品输出
sfm.node.fluid_input,流体输入
sfm.node.fluid_output,流体输出
sfm.node.energy_input,能量输入
sfm.node.energy_output,能量输出
sfm.node.redstone_input,红石输入
sfm.node.redstone_output,红石输出
sfm.node.item_filter,物品过滤器
sfm.node.fluid_filter,流体过滤器
sfm.node.condition,条件
sfm.node.loop,循环
sfm.node.group_input,组输入
sfm.node.group_output,组输出
sfm.node.variable_get,变量读取
sfm.node.variable_set,变量设置
sfm.node.math,数学
sfm.node.text_label,文本标签
sfm.node.count,计数
nei.info.ore_dict,矿物词典
nei.info.bookmarked,已收藏
nei.info.bookmarked_yes,是（B 移除）
nei.info.bookmarked_no,否（B 添加）
nei.info.recipe_summary,配方摘要
nei.info.recipes,配方数
nei.info.usages,用途数
nei.info.shortcuts,快捷键
nei.info.machines,相关机器
nei.info.tooltip,提示

# ============================================================
# NEI Tooltip (悬停提示)
# ============================================================
nei.tooltip.key,键
nei.tooltip.source,来源
nei.tooltip.ore,矿物
nei.tooltip.recipes,配方
nei.tooltip.usages,用途
nei.tooltip.hint,R:配方 U:用途 M:机器 B:收藏

# ============================================================
# NEI Key Bindings (按键绑定)
# ============================================================
nei.key.toggle_nei_panel,NEI物品查询
nei.key.toggle_nei_mode,NEI模式切换

# ============================================================
# Quest Book UI (任务书界面)
# ============================================================
quest_book.title,任务书
quest_book.locked,已锁定
quest_book.available,可接取
quest_book.in_progress,进行中
quest_book.completed,已完成
quest_book.unknown,未知
quest_book.conditions,条件
quest_book.rewards,奖励
quest_book.claim_reward,领取奖励
quest_book.claimed,已领取
quest_book.progress,已完成 %d / %d
quest_book.status,状态：%s
quest_book.reward_item,  + %s x%d
quest_book.reward_select_one,  + 选择一项奖励
quest_book.reward_unlock,  + 解锁：%s
quest_book.reward_unknown,  + 未知奖励
quest_book.condition_done,  [x] %s (%d/%d)
quest_book.condition_pending,  [ ] %s (%d/%d)

# ============================================================
# Quest chapters (任务章节)
# ============================================================
quest.chapter.stone_age,石器时代
quest.chapter.bronze_age,青铜时代
quest.chapter.steam_age,蒸汽时代
quest.chapter.lv,低压时代
quest.chapter.mv,中压时代
quest.chapter.magic,源律

# ============================================================
# Stone Age quests (石器时代任务)
# ============================================================
quest.stone_age.first_steps.title,第一步
quest.stone_age.first_steps.desc,砍树获取木头。一切从这里开始。\n\n挖掘原木来开启你的工业化文明之旅。
quest.stone_age.getting_stone.title,获取石头
quest.stone_age.getting_stone.desc,石头是一切工具的基础。挖掘一些石头来制作你的第一批工具。
quest.stone_age.crafting_table.title,合成台
quest.stone_age.crafting_table.desc,放置工作台以解锁更复杂的合成配方。\n\n工作台是你进入GT工具系统的入口。
quest.stone_age.stone_furnace.title,石炉
quest.stone_age.stone_furnace.desc,冶炼你的第一块金属。放置石炉开始矿石处理。\n\n石炉虽慢但可靠——它将一直为你服务到青铜时代。
quest.stone_age.first_ingot.title,第一块锭
quest.stone_age.first_ingot.desc,在熔炉中冶炼一块铁锭。\n\n铁是工业时代的支柱。每台机器都从这里开始。
quest.stone_age.gt_hammer.title,GT锤子
quest.stone_age.gt_hammer.desc,制作GT锤子——GregTech中最重要的工具。\n\n锤子用于板材制作、机器组装以及许多其他操作。
quest.stone_age.wrench.title,扳手
quest.stone_age.wrench.desc,制作扳手以旋转和拆卸机器。\n\n没有扳手，你将无法正常操作GT机器。
quest.stone_age.machine_hull.title,基础机器外壳
quest.stone_age.machine_hull.desc,制作基础机器外壳——每台低压机器的外壳。\n\n这是你迈向电气化的第一步。
quest.stone_age.macerator_hint.title,粉碎机在等待
quest.stone_age.macerator_hint.desc,你现在有了机器外壳和马达。粉碎机可以让矿石产量翻倍！\n\n制作粉碎机以进入矿石增产的世界。
quest.stone_age.wild_foraging.title,野外采集
quest.stone_age.wild_foraging.desc,你发现了野生作物！挖掘它以收集种子。\n\n野生作物在任何生长阶段都会掉落种子——成熟作物还会掉落作物本身。
quest.stone_age.first_farm.title,第一片农场
quest.stone_age.first_farm.desc,用锹翻耕泥土块以创建农田，然后在上面种植种子。\n\n右键点击泥土使用锹翻耕。右键点击农田种植种子。
quest.stone_age.bone_meal.title,骨粉肥料
quest.stone_age.bone_meal.desc,对作物使用骨粉以立即推进一个生长阶段。\n\n右键点击作物使用骨粉施肥。
quest.stone_age.first_harvest.title,第一次收获
